trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.6, 'e': 0.09255057751034329}",25,0,32.93739139921246,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.6, 'e': 0.09071795328941251}",25,17,18.11438631917654,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.6, 'e': 0.08892161745938634}",20,8,24.25767053634727,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.6, 'e': 0.0871608514619813}",25,7,30.141155571809836,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.6, 'e': 0.08543495096732123}",25,11,26.038588277151494,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.6, 'e': 0.08374322559219596}",20,8,20.133978611794728,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.6, 'e': 0.0820849986238988}",35,4,-1.8199113699471496,"{0: 27, 1: 0, 2: 3, 3: 1, 4: 0}",1
127,False,"{'a': 0.6, 'e': 0.08045960674953244}",30,19,21.65710298100475,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.6, 'e': 0.07886639979067495}",20,16,7.934206282929084,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.6, 'e': 0.07730474044329974}",20,12,18.850198387696118,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.6, 'e': 0.07577400402284548}",20,0,19.833942349139967,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.6, 'e': 0.07427357821433388}",20,0,30.337643070981564,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
132,False,"{'a': 0.6, 'e': 0.07280286282743559}",25,17,12.84080104797049,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.6, 'e': 0.07136126955638605}",20,15,8.41925689447492,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.6, 'e': 0.06994822174465536}",30,18,27.09848017196619,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.6, 'e': 0.06856315415427791}",20,16,8.146956655983915,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.6, 'e': 0.06720551273974976}",30,21,16.80338939217174,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.6, 'e': 0.06587475442640295}",20,14,13.343907432856025,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.6, 'e': 0.06457034689316847}",20,14,12.031364886014561,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.6, 'e': 0.0632917683596407}",25,16,-35.11887915714799,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
